10.6	Meas:	 1 0	Est	    0.519886 2.57659e-309     0.101518  1.2275e-308 3.13868e-309	Number of Objects	0
10.7	Meas:	 1 0	Est	    0.529083 2.67226e-309     0.102416  1.2526e-308 3.18814e-309	Number of Objects	0
10.8	Meas:	 1 0	Est	    0.538352 2.77027e-309     0.103313 1.27789e-308  3.2378e-309	Number of Objects	0
10.9	Meas:	 1 0	Est	    0.547691 2.87064e-309      0.10421 1.30338e-308 3.28767e-309	Number of Objects	0
11	Meas:	 1 0	Est	    0.557102 2.97339e-309     0.105106 1.32904e-308 3.33775e-309	Number of Objects	0
11.1	Meas:	 1 0	Est	    0.566583 3.07852e-309     0.106001 1.35489e-308 3.38802e-309	Number of Objects	0
11.2	Meas:	 1 0	Est	    0.576135 3.18607e-309     0.106894 1.38092e-308 3.43848e-309	Number of Objects	0
11.3	Meas:	 1 0	Est	    0.585756 3.29604e-309     0.107788 1.40712e-308 3.48914e-309	Number of Objects	0
11.4	Meas:	 1 0	Est	    0.595448 3.40844e-309      0.10868 1.43349e-308 3.53998e-309	Number of Objects	0
11.5	Meas:	 1 0	Est	    0.605209 3.52329e-309     0.109571 1.46003e-308 3.59101e-309	Number of Objects	0
11.6	Meas:	 1 0	Est	     0.61504 3.64061e-309     0.110461 1.48673e-308 3.64222e-309	Number of Objects	0
11.7	Meas:	 1 0	Est	     0.62494 3.76039e-309     0.111351  1.5136e-308  3.6936e-309	Number of Objects	0
11.8	Meas:	 1 0	Est	     0.63491 3.88266e-309     0.112239 1.54061e-308 3.74516e-309	Number of Objects	0
11.9	Meas:	 1 0	Est	    0.644947 4.00743e-309     0.113127 1.56778e-308 3.79689e-309	Number of Objects	0
12	Meas:	 1 0	Est	    0.655054 4.13469e-309     0.114014 1.59509e-308 3.84879e-309	Number of Objects	0
12.1	Meas:	 1 0	Est	    0.665229 4.26445e-309       0.1149 1.62255e-308 3.90085e-309	Number of Objects	0
12.2	Meas:	 1 0	Est	    0.675472 4.39673e-309     0.115785 1.65014e-308 3.95307e-309	Number of Objects	0
12.3	Meas:	 1 0	Est	    0.685783 4.53153e-309     0.116669 1.67788e-308 4.00545e-309	Number of Objects	0
12.4	Meas:	 1 0	Est	    0.696161 4.66884e-309     0.117552 1.70574e-308 4.05798e-309	Number of Objects	0
12.5	Meas:	 1 0	Est	    0.706607 4.80868e-309     0.118434 1.73373e-308 4.11066e-309	Number of Objects	0
12.6	Meas:	 1 0	Est	     0.71712 4.95104e-309     0.119316 1.76184e-308  4.1635e-309	Number of Objects	0
12.7	Meas:	 1 0	Est	    0.727701 5.09593e-309     0.120196 1.79008e-308 4.21647e-309	Number of Objects	0
12.8	Meas:	 1 0	Est	    0.738348 5.24334e-309     0.121076 1.81843e-308  4.2696e-309	Number of Objects	0
12.9	Meas:	 1 0	Est	    0.749061 5.39327e-309     0.121955 1.84689e-308 4.32286e-309	Number of Objects	0
13	Meas:	 1 0	Est	    0.759841 5.54572e-309     0.122833 1.87546e-308 4.37625e-309	Number of Objects	0
13.1	Meas:	 1 0	Est	    0.770687 5.70068e-309      0.12371 1.90413e-308 4.42979e-309	Number of Objects	0
13.2	Meas:	 1 0	Est	    0.781599 5.85816e-309     0.124586 1.93291e-308 4.48345e-309	Number of Objects	0
13.3	Meas:	 1 0	Est	    0.792577 6.01813e-309     0.125461 1.96178e-308 4.53724e-309	Number of Objects	0
13.4	Meas:	 1 0	Est	     0.80362  6.1806e-309     0.126336 1.99074e-308 4.59116e-309	Number of Objects	0
13.5	Meas:	 1 0	Est	    0.814728 6.34555e-309     0.127209 2.01979e-308  4.6452e-309	Number of Objects	0
13.6	Meas:	 1 0	Est	    0.825901 6.51298e-309     0.128082 2.04892e-308 4.69936e-309	Number of Objects	0
13.7	Meas:	 1 0	Est	    0.837139 6.68286e-309     0.128954 2.07813e-308 4.75364e-309	Number of Objects	0
13.8	Meas:	 1 0	Est	    0.848442  6.8552e-309     0.129825 2.10742e-308 4.80804e-309	Number of Objects	0
13.9	Meas:	 1 0	Est	    0.859809 7.02998e-309     0.130695 2.13679e-308 4.86255e-309	Number of Objects	0
14	Meas:	 1 0	Est	     0.87124 7.20717e-309     0.131564 2.16622e-308 4.91717e-309	Number of Objects	0
14.1	Meas:	 1 0	Est	    0.882735 7.38677e-309     0.132432 2.19572e-308  4.9719e-309	Number of Objects	0
14.2	Meas:	 1 0	Est	    0.894294 7.56876e-309       0.1333 2.22527e-308 5.02673e-309	Number of Objects	0
14.3	Meas:	 1 0	Est	    0.905917 7.75312e-309     0.134166 2.25489e-308 5.08167e-309	Number of Objects	0
14.4	Meas:	 1 0	Est	    0.917602 7.93982e-309     0.135032 2.28455e-308 5.13672e-309	Number of Objects	0
14.5	Meas:	 1 0	Est	    0.929351 8.12885e-309     0.135897 2.31427e-308 5.19186e-309	Number of Objects	0
14.6	Meas:	 1 0	Est	    0.941163 8.32019e-309     0.136761 2.34404e-308  5.2471e-309	Number of Objects	0
14.7	Meas:	 1 0	Est	    0.953037  8.5138e-309     0.137624 2.37384e-308 5.30244e-309	Number of Objects	0
14.8	Meas:	 1 0	Est	    0.964974 8.70967e-309     0.138486 2.40369e-308 5.35787e-309	Number of Objects	0
14.9	Meas:	 1 0	Est	    0.976973 8.90777e-309     0.139348 2.43356e-308 5.41339e-309	Number of Objects	0
15	Meas:	 1 0	Est	    0.989034 9.10807e-309     0.140208 2.46347e-308   5.469e-309	Number of Objects	0
15.1	Meas:	 1 0	Est	     1.00116 9.31055e-309     0.141068 2.49341e-308  5.5247e-309	Number of Objects	0
15.2	Meas:	 1 0	Est	     1.01334 9.51517e-309     0.141927 2.52337e-308 5.58048e-309	Number of Objects	0
15.3	Meas:	 1 0	Est	     1.02559  9.7219e-309     0.142785 2.55336e-308 5.63635e-309	Number of Objects	0
15.4	Meas:	 1 0	Est	     1.03789 9.93071e-309     0.143642 2.58336e-308 5.69231e-309	Number of Objects	0
15.5	Meas:	 1 0	Est	     1.05026 1.01416e-308     0.144498 2.61337e-308 5.74834e-309	Number of Objects	0
15.6	Meas:	 1 0	Est	     1.06269 1.03544e-308     0.145353 2.64339e-308 5.80445e-309	Number of Objects	0
15.7	Meas:	 1 0	Est	     1.07518 1.05693e-308     0.146208 2.67342e-308 5.86064e-309	Number of Objects	0
15.8	Meas:	 1 0	Est	     1.08773 1.07861e-308     0.147062 2.70345e-308  5.9169e-309	Number of Objects	0
15.9	Meas:	 1 0	Est	     1.10034 1.10048e-308     0.147915 2.73349e-308 5.97324e-309	Number of Objects	0
16	Meas:	 1 0	Est	     1.11301 1.12253e-308     0.148766 2.76352e-308 6.02965e-309	Number of Objects	0
16.1	Meas:	 1 0	Est	     1.12574 1.14477e-308     0.149618 2.79354e-308 6.08614e-309	Number of Objects	0
16.2	Meas:	 1 0	Est	     1.13853 1.16718e-308     0.150468 2.82355e-308 6.14269e-309	Number of Objects	0
16.3	Meas:	 1 0	Est	     1.15138 1.18977e-308     0.151317 2.85355e-308 6.19931e-309	Number of Objects	0
16.4	Meas:	 1 0	Est	     1.16428 1.21253e-308     0.152166 2.88354e-308   6.256e-309	Number of Objects	0
16.5	Meas:	 1 0	Est	     1.17725 1.23545e-308     0.153014  2.9135e-308 6.31275e-309	Number of Objects	0
16.6	Meas:	 1 0	Est	     1.19028 1.25854e-308      0.15386 2.94344e-308 6.36956e-309	Number of Objects	0
